"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000184060.11",7.76088021632715,-0.746352005374627,0.448908785599509,16.2350918913607,0.00620396478484514,0.00913896309842583
"ENSG00000147789.15",380.967510198376,0.226444528045966,0.108644149536983,16.2314514685882,0.00621341713063183,0.0091524130068451
"ENSG00000254224.2",4.91345388708826,0.544810939463942,0.555393519940514,16.2297313754216,0.00621788822835116,0.00915852448368026
"ENSG00000279140.1",2.29241408205796,0.10508345139549,0.640847473993491,16.2256961085037,0.00622838954771827,0.0091735169716497
"ENSG00000273013.1",1.92814261590831,-1.26304634578844,0.660441654326888,16.2255046227986,0.00622888829665183,0.00917377632998731
"ENSG00000184497.13",27.4672679924989,-0.524314148228142,0.273274840994836,16.2223063620898,0.00623722433108882,0.00918557765365779
"ENSG00000235010.1",2.44115160973144,-0.591524252328045,0.65668230897713,16.2032571947662,0.00628710029878068,0.00925855056170987
"ENSG00000253159.3",5.82134692661936,0.461831370982378,0.47521300103408,16.1998694093749,0.00629601107112241,0.00927119260276322
"ENSG00000235036.4",32.9047274731206,0.522407859181871,0.289259815088351,16.1994676343357,0.00629706866184377,0.0092722697288074
"ENSG00000286416.1",16.8146700912789,1.07504659059726,0.353911720735275,16.1958266998648,0.00630666057463835,0.0092859126596643
"ENSG00000283060.2",2.90721457259424,-0.305912525247772,0.615829463526307,16.1914672145152,0.00631816421593778,0.00930236885648299
"ENSG00000267666.2",4.74289918213067,-0.211234834950969,0.582792961389268,16.1836740414222,0.0063387795095422,0.00933223793575517
"ENSG00000177225.17",968.216992668785,0.055157423213893,0.0847200250575877,16.1832513455813,0.0063398995396308,0.00933340359917066
"ENSG00000276849.6",1.32451502355389,-1.07108238042754,0.637175115390937,16.1825939990661,0.00634164171394681,0.00933548499590637
"ENSG00000249378.6",8.63503933803058,0.0832492133342015,0.476142683657537,16.173704771573,0.00636524681261423,0.00936974876397866
"ENSG00000260051.1",12.5478354598118,-0.0681357100228497,0.37203536054192,16.1734469785805,0.00636593265072906,0.00937027319970639
"ENSG00000237222.4",1.5610231722138,0.145645123957874,0.62971877476078,16.1679610686963,0.00638054456773744,0.00939129487756437
"ENSG00000279170.2",99.5694350674028,0.360371793086,0.151500922819151,16.1567650019186,0.0064104671727808,0.00943484846549869
"ENSG00000272808.4",4.07656239165317,-0.393737352394815,0.569552039562774,16.156360685452,0.00641155030296147,0.00943595414947981
"ENSG00000214013.9",236.307464260228,-0.193186145847681,0.110914012090378,16.1534637640684,0.00641931613210783,0.00944689421677484
"ENSG00000215097.3",3.66716453657084,-1.08156043898985,0.653205495379684,16.1388354730414,0.00645867065391527,0.00950431779059671
"ENSG00000264229.1",1.96052550218946,0.131745246992954,0.637303864537313,16.1354230727785,0.00646788480077991,0.00951738436268369
"ENSG00000233461.6",16.4020683950459,0.0966607662456152,0.317835436709298,16.1301371534988,0.00648218310555633,0.00953793044854203
"ENSG00000284879.1",1.3066223564839,-0.733917124201694,0.637823756048206,16.1283002274258,0.00648715916039209,0.00954475829270688
"ENSG00000163632.14",5.10083589084076,-0.312511451125419,0.579164998040262,16.1273993625046,0.00648960087616856,0.00954785677160282
"ENSG00000274528.1",7.75058705084084,-1.46777413197813,0.475933884920644,16.127048107715,0.00649055316424057,0.00954876371549663
"ENSG00000272263.1",15.80009905339,0.789510235759586,0.36011757079727,16.1231972950728,0.00650100204757929,0.00956364103155038
"ENSG00000272918.1",20.1166586882889,0.389833309413324,0.31962591662318,16.1227786932714,0.0065021388784061,0.00956481853222487
"ENSG00000262585.1",3.38607630167239,-1.03719718471924,0.642357840999751,16.1225274043706,0.00650282141706391,0.00956532766982053
"ENSG00000172901.20",10.0875130831858,0.810041485758658,0.474146631414248,16.1096633746699,0.0065378554729913,0.00961636351826636
"ENSG00000146166.17",1.30282751250779,-1.41696702810296,0.658071696932104,16.1093332802048,0.00653875687176496,0.00961719183580888
