,genes,cluster,hierachical_cluster
4449,RBMXL1,green,1
4450,EPS15L1,green,1
4451,ATL2,green,1
4452,HIC2,green,1
4453,SMAD5,green,1
4454,SORL1,green,1
4455,DIAPH1,green,1
4456,CTCF,green,1
4457,UBE2N,green,1
4458,CHST7,green,1
4459,PTBP3,pink,1
4460,CDC40,pink,1
4461,IRF4,pink,1
4462,ZNF678,pink,1
4463,GAN,pink,1
4464,SRP68,pink,1
4465,NUFIP2,pink,1
4466,TEAD3,pink,1
4467,KPNA6,pink,1
4468,LRRC40,pink,1
4469,EIF4E,pink,1
4470,TRIM65,pink,1
4471,E2F7,pink,1
4472,SENP1,pink,1
4473,CMTM4,pink,1
4474,CHST2,pink,1
4475,PDS5A,pink,1
4476,JPH1,pink,1
4477,NMD3,pink,1
4478,METAP2,pink,1
4479,DBF4,pink,1
4480,GRK6,pink,1
4481,SYNCRIP,pink,1
4482,RAB23,pink,1
4483,USP28,pink,1
4484,EIF3G,pink,1
4485,LTA4H,pink,1
4486,PPP6R3,pink,1
4487,GPD2,pink,1
4488,RBM46,pink,1
4489,CDYL,pink,1
4490,PHAX,pink,1
4491,SRSF10,pink,1
4492,ZMYM4,pink,1
4493,IST1,pink,1
4494,ERLIN1,pink,1
4495,MED28,pink,1
4496,NUDT5,pink,1
4497,UBAC1,pink,1
4498,FGF2,pink,1
4499,MAT2A,pink,1
4500,PLAG1,pink,1
4501,RAB3GAP2,pink,1
4502,GIGYF2,pink,1
4503,KHDRBS1,pink,1
4504,FLVCR1,pink,1
4505,E2F3,pink,1
4506,ZNF649,pink,1
4507,LIN28A,pink,1
4508,TNRC6C,pink,1
4509,POLR1B,pink,1
4510,TP53BP2,pink,1
4511,HNRNPC,pink,1
4512,ZCCHC3,pink,1
4513,SLC7A6OS,pink,1
4514,NCEH1,pink,1
4515,ZMYND8,pink,1
4516,SBNO1,pink,1
4517,OTUD6B,pink,1
4518,RIPPLY3,pink,1
4519,E2F5,pink,1
4520,ZNF726,pink,1
4521,MRPS22,pink,1
4522,PTPN4,pink,1
4523,GTF2H2,pink,1
4524,MKLN1,pink,1
4525,ADAMTS19,pink,1
4526,SLCO1A2,pink,1
4527,CTH,pink,1
4528,EML4,pink,1
4529,IGF2BP3,pink,1
4530,LDB2,pink,1
4531,KLHL12,pink,1
4532,VCL,pink,1
4533,ZNF738,pink,1
4534,CCDC59,pink,1
4535,HIPK1,pink,1
4536,WDR62,pink,1
4537,SNTB2,pink,1
4538,ITGA5,pink,1
4539,ANLN,pink,1
4540,ETAA1,pink,1
4541,SEC23IP,pink,1
4542,FLOT2,pink,1
4543,THRAP3,pink,1
4544,OVOL1,pink,1
4545,YES1,pink,1
4546,IPO7,pink,1
4547,HELZ,pink,1
4548,KCNE3,pink,1
4549,TOP1,pink,1
4550,USP13,pink,1
4551,STK38L,pink,1
4552,FAM83F,pink,1
4553,FXR1,pink,1
4554,CCDC43,pink,1
4555,SLC45A4,pink,1
4556,MDN1,pink,1
4557,ANKRD18A,pink,1
4558,PDGFRA,pink,1
4559,NTN4,pink,1
4560,FBXO21,pink,1
4561,LIN28B,pink,1
4562,MED12L,pink,1
4563,ANKHD1,pink,1
4564,EIF4E2,pink,1
4565,PLEKHH2,pink,1
4566,PDK1,pink,1
4567,WNK3,pink,1
4568,SNX33,pink,1
4569,PTCH1,pink,1
4570,UBE3C,pink,1
4571,PHLPP2,pink,1
4572,STK17B,pink,1
4573,CDK12,pink,1
4574,USP9X,pink,1
4575,DCDC2,pink,1
4576,VAV3,pink,1
4577,ATP8B2,pink,1
4578,TFAM,pink,1
4579,TLK1,pink,1
4580,TMEM68,pink,1
4581,HOMER1,pink,1
4582,CBR4,pink,1
4583,RAB3IP,pink,1
4584,UPF2,pink,1
4585,NR6A1,pink,1
4586,BRCA1,pink,1
4587,FUT9,pink,1
4588,SUZ12,pink,1
4589,USP37,pink,1
4590,DSCC1,pink,1
4591,ATG5,pink,1
4592,FAM104A,pink,1
4593,GPATCH8,pink,1
4594,GRIN2A,pink,1
4595,VWDE,pink,1
4596,RSL1D1,pink,1
4597,EIF5,pink,1
4598,RARG,pink,1
4599,SCML2,pink,1
4600,ZNF829,pink,1
4601,UBP1,pink,1
4602,WWC2,pink,1
4603,CD2AP,pink,1
4604,KTN1,pink,1
4605,KIF23,pink,1
4606,DUSP5,pink,1
4607,NFYB,pink,1
4608,ZC3H4,pink,1
4609,BCL2L12,pink,1
4610,ARID3A,pink,1
4611,EP300,pink,1
4612,FAM136A,pink,1
4613,MYBL2,pink,1
4614,KCNK1,pink,1
4615,STRBP,pink,1
4616,EIF3L,pink,1
4617,IGSF10,pink,1
4618,ZDHHC13,pink,1
4619,BPTF,pink,1
4620,RRP15,pink,1
4621,ZNF592,pink,1
4622,LIN9,pink,1
4623,CHML,pink,1
4624,COMMD2,pink,1
4625,N4BP3,pink,1
4626,DNAJC21,pink,1
4627,FGD6,pink,1
4628,ZNF160,pink,1
4629,CCDC6,pink,1
4630,SLCO4C1,pink,1
4631,PGRMC2,pink,1
4632,ZNF430,pink,1
4633,PROSER1,pink,1
4634,RAVER2,pink,1
4635,LNX2,pink,1
4636,MYB,pink,1
4637,CLINT1,pink,1
4638,IBA57,pink,1
4639,PIK3R5,pink,1
4640,KLHL23,pink,1
4641,TOPORS,pink,1
4642,RNF2,pink,1
4643,STAG2,pink,1
4644,ZDHHC20,pink,1
4645,BMP2K,pink,1
4646,EDA,pink,1
4647,SYDE2,pink,1
4648,PNO1,pink,1
4649,VAC14,pink,1
4650,TIMM44,pink,1
4651,SP4,pink,1
4652,ZBTB2,pink,1
4653,HAS3,pink,1
4654,BAIAP2L1,pink,1
4655,MTA2,pink,1
4656,MTOR,pink,1
4657,FDFT1,pink,1
4658,NUP155,pink,1
4659,ZNF141,pink,1
4660,LSG1,pink,1
4661,ZIC5,pink,1
4662,DCUN1D1,pink,1
4663,ZNF74,pink,1
4664,N4BP2,pink,1
4665,PHF8,pink,1
4666,CYYR1,pink,1
4667,WWP1,pink,1
4668,FBXO28,pink,1
4669,RASEF,pink,1
4670,RBM27,pink,1
4671,VASP,pink,1
4672,PFN1,pink,1
4673,DEK,pink,1
4674,DNMT3A,pink,1
4675,ZNF670,pink,1
4676,DHX35,pink,1
4677,EIF5B,pink,1
4678,TBC1D4,pink,1
4679,ENAH,pink,1
4680,NAA15,pink,1
4681,ANP32E,pink,1
4682,YTHDF1,pink,1
4683,TGIF2,pink,1
4684,PRPF40A,pink,1
4685,ROR1,pink,1
4686,TNKS2,pink,1
4687,GPR63,pink,1
4688,POLR3G,pink,1
4689,RTN4R,pink,1
4690,G3BP2,pink,1
4691,NUS1,pink,1
4692,GNA13,pink,1
4693,LRIG1,pink,1
4694,MTMR12,pink,1
4695,ERG,pink,1
4696,RNF220,pink,1
4697,PMAIP1,pink,1
4698,USP25,pink,1
4699,FBXO33,pink,1
4700,SLC19A2,pink,1
4701,WDR89,pink,1
4702,MCM4,pink,1
4703,EIF3A,pink,1
4704,YBX3,pink,1
4705,ZNF207,pink,1
4706,AZIN1,pink,1
4707,MSL2,pink,1
4708,TRRAP,pink,1
4709,UBN1,pink,1
4710,ARL5A,pink,1
4711,MZT1,pink,1
4712,TPP2,pink,1
4713,ARPP19,pink,1
4714,PLEKHG4B,pink,1
4715,C21orf91,pink,1
4716,SH3RF1,pink,1
4717,SAV1,pink,1
4718,TYW3,pink,1
4719,SLC2A3,pink,1
4720,ADK,pink,1
4721,KBTBD8,pink,1
4722,MRPL3,pink,1
4723,ZNF281,pink,1
4724,PCGF6,pink,1
4725,ATP11C,pink,1
4726,DHX36,pink,1
4727,SAMD12,pink,1
4728,CCDC47,pink,1
4729,COL4A3,pink,1
4730,CTTNBP2,pink,1
4731,GCA,pink,1
4732,BAG4,pink,1
4733,KDM6A,pink,1
4734,RNF121,pink,1
4735,TBC1D31,pink,1
4736,PGP,pink,1
4737,SLC7A11,pink,1
4738,TCF4,pink,1
4739,ATP13A3,pink,1
4740,ABCE1,pink,1
4741,PDE3A,pink,1
4742,XPO4,pink,1
4743,MPP6,pink,1
4744,PTCD3,pink,1
4745,PGAP2,pink,1
4746,GMDS,pink,1
4747,RAD23B,pink,1
4748,ZNF573,pink,1
4749,STC1,pink,1
4750,BRWD3,pink,1
4751,SIPA1L1,pink,1
4752,KRR1,pink,1
4753,CLIC4,pink,1
4754,GGA3,pink,1
4755,CNIH4,pink,1
4756,GCC2,pink,1
4757,MACC1,pink,1
4758,GNPDA1,pink,1
4759,QSER1,pink,1
4760,ANO6,pink,1
4761,FRAS1,pink,1
4762,RIF1,pink,1
4763,GLDC,pink,1
4764,USP10,pink,1
4765,AHCTF1,pink,1
4766,KIF14,pink,1
4767,ZNF273,pink,1
4768,TRAF5,pink,1
4769,FAM135A,pink,1
4770,AQR,pink,1
4771,GTF3C2,pink,1
4772,INTS2,pink,1
4773,PRDX3,pink,1
4774,TNRC6A,pink,1
4775,LARP1,pink,1
4776,SEH1L,pink,1
4777,UBXN7,pink,1
4778,SYPL1,pink,1
4779,NUP62,pink,1
4780,ZNF614,pink,1
4781,SS18,pink,1
4782,DDX42,pink,1
4783,HMGN5,pink,1
4784,CCNK,pink,1
4785,NUP54,pink,1
4786,DDX3X,pink,1
4787,ELL,pink,1
4788,DNHD1,pink,1
4789,TAF4,pink,1
4790,PIK3C2A,pink,1
4791,RYBP,pink,1
4792,G3BP1,pink,1
4793,JADE1,pink,1
4794,LMTK2,pink,1
4795,SIX4,pink,1
4796,GFPT2,pink,1
4797,SLC38A2,pink,1
4798,EXO1,pink,1
4799,KNSTRN,pink,1
4800,CCDC68,pink,1
4801,STRAP,pink,1
4802,MBTD1,pink,1
4803,RBM25,pink,1
4804,SPICE1,pink,1
4805,WDR3,pink,1
4806,GULP1,pink,1
4807,UBE2V2,pink,1
4808,PTPRG,pink,1
4809,KIT,pink,1
4810,FGD1,pink,1
4811,DNMT3B,pink,1
4812,MCRS1,pink,1
4813,NUCKS1,pink,1
4814,CALD1,pink,1
4815,WDR43,pink,1
4816,RCOR1,pink,1
4817,HDGF,pink,1
4818,HNRNPA2B1,pink,1
4819,RTKN2,pink,1
4820,URB1,pink,1
4821,RASGRP1,pink,1
4822,BCR,pink,1
4823,COL4A4,pink,1
4824,DDI2,pink,1
4825,JADE3,pink,1
4826,ENSA,pink,1
4827,SNX5,pink,1
4828,GMEB2,pink,1
4829,PRDM5,pink,1
4830,KIAA1522,pink,1
4831,G2E3,pink,1
4832,REL,pink,1
4833,BAK1,pink,1
4834,CPSF6,pink,1
4835,GDA,pink,1
4836,LARP1B,pink,1
4837,SALL1,pink,1
4838,CHTOP,pink,1
4839,ROCK1,pink,1
4840,NAMPT,pink,1
4841,TCN2,pink,1
4842,AKAP5,pink,1
4843,UBA2,pink,1
4844,PPM1B,pink,1
4845,CHMP2B,pink,1
4846,C12orf75,pink,1
4847,CCDC117,pink,1
4848,DR1,pink,1
4849,EFR3A,pink,1
4850,ZBTB39,pink,1
4851,SSX2IP,pink,1
4852,CPSF2,pink,1
4853,RPE,pink,1
4854,ESCO1,pink,1
4855,MFHAS1,pink,1
4856,SERBP1,pink,1
4857,UXS1,pink,1
4858,WNK1,pink,1
4859,XPO1,pink,1
4860,HEATR3,pink,1
4861,TAF5,pink,1
4862,PRR14L,pink,1
4863,ISG20L2,pink,1
4864,RAB11FIP4,pink,1
4865,YAP1,pink,1
4866,MYCN,pink,1
4867,PAQR5,pink,1
4868,EP400,pink,1
4869,SNX16,pink,1
4870,HNRNPA1,pink,1
4871,AGO2,pink,1
4872,CIPC,pink,1
4873,ETS2,pink,1
4874,SHMT2,pink,1
4875,MATN3,pink,1
4876,CBX1,pink,1
4877,SERP1,pink,1
4878,USP45,pink,1
4879,ZNF644,pink,1
4880,SLC7A8,pink,1
4881,ELOVL5,pink,1
4882,PCDH19,pink,1
4883,SLC6A9,pink,1
4884,RAB20,pink,1
4885,LYPLA1,pink,1
4886,VPS13A,pink,1
4887,DNA2,pink,1
4888,TSPAN5,pink,1
4889,USP7,pink,1
4890,DCAF16,pink,1
4891,PAFAH1B2,pink,1
4892,PHF3,pink,1
4893,IDH1,pink,1
4894,RRM2B,pink,1
4895,ANKRD40,pink,1
4896,FRAT2,pink,1
4897,RBM12,pink,1
4898,ACTR3,pink,1
4899,CCNB1IP1,pink,1
4900,SLC11A2,pink,1
4901,ZNF551,pink,1
4902,TRPA1,pink,1
4903,MCU,pink,1
4904,LHX8,pink,1
4905,MAP4K3,pink,1
4906,SKI,pink,1
4907,SOX2,pink,1
4908,AMER1,pink,1
4909,GOLPH3L,pink,1
4910,ELAVL1,pink,1
4911,RAB1B,pink,1
4912,WDR12,pink,1
4913,BCOR,pink,1
4914,MPP7,pink,1
4915,INTS6,pink,1
4916,NCKAP1,pink,1
4917,AUNIP,pink,1
4918,PSMB6,pink,1
4919,ZFP62,pink,1
4920,TNKS1BP1,pink,1
4921,EPHA7,pink,1
4922,COX10,pink,1
4923,FBXO30,pink,1
4924,SLC2A14,pink,1
4925,CECR2,pink,1
4926,TTC31,pink,1
4927,PRKD3,pink,1
4928,PDCD10,pink,1
4929,CHD6,pink,1
4930,REPS1,pink,1
4931,UBE4B,pink,1
4932,XPOT,pink,1
4933,TTN,pink,1
4934,SF3A1,pink,1
4935,CHAC1,pink,1
4936,PDLIM5,pink,1
4937,CEP76,pink,1
4938,SZRD1,pink,1
4939,ENOPH1,pink,1
4940,STAC2,pink,1
4941,ETV6,pink,1
4942,DDX21,pink,1
4943,CHCHD3,pink,1
4944,NCL,pink,1
4945,ELL2,pink,1
4946,BTAF1,pink,1
4947,TBC1D15,pink,1
4948,SUMO2,pink,1
4949,GALNT7,pink,1
4950,STRADB,pink,1
4951,ZNF48,pink,1
4952,ATXN1L,pink,1
4953,MYO10,pink,1
4954,S100PBP,pink,1
4955,WDHD1,pink,1
4956,ZNF680,pink,1
4957,NAA25,pink,1
4958,STYX,pink,1
4959,ORC2,pink,1
4960,STRN3,pink,1
4961,HNF4G,pink,1
4962,SIKE1,pink,1
4963,FOSB,pink,1
4964,SLC16A10,pink,1
4965,DESI2,pink,1
4966,SMC1A,pink,1
4967,UBE2G1,pink,1
4968,HIF3A,pink,1
4969,EMB,pink,1
4970,CD109,pink,1
4971,AGO1,pink,1
4972,GSKIP,pink,1
4973,NET1,pink,1
4974,SMC3,pink,1
4975,RBM7,pink,1
4976,TET1,pink,1
4977,PAWR,pink,1
4978,SLC30A6,pink,1
4979,OTUD4,pink,1
4980,FAM76A,pink,1
4981,BLM,pink,1
4982,SIRT1,pink,1
4983,SPINT2,pink,1
4984,EPCAM,pink,1
4985,MLF1,pink,1
4986,ATF1,pink,1
4987,NBEA,pink,1
4988,SMARCD2,pink,1
4989,GMNC,pink,1
4990,POU2F1,pink,1
4991,KXD1,pink,1
4992,FAM126A,pink,1
4993,SGTA,pink,1
4994,UBFD1,pink,1
4995,PRKCQ,pink,1
4996,MIER3,pink,1
4997,RPF2,pink,1
4998,PPP2R5E,pink,1
4999,NSD1,pink,1
5000,PIM1,pink,1
5001,PPRC1,pink,1
5002,ATRIP,pink,1
5003,HMGXB4,pink,1
5004,CCK,pink,1
5005,HMGA1,pink,1
5006,ACVR1C,pink,1
5007,CCT3,pink,1
5008,CELF1,pink,1
5009,AKAP7,pink,1
5010,NFATC3,pink,1
5011,TMX1,pink,1
5012,PTPN14,pink,1
5013,COL6A3,pink,1
5014,CREBZF,pink,1
5015,SORL1,pink,1
5016,LSM12,pink,1
5017,GINS3,pink,1
5018,MAL2,pink,1
5019,DCAF7,purple,3
5020,SPOP,purple,3
5021,TNFAIP1,purple,3
5022,ELAVL2,purple,3
5023,STMN1,purple,3
5024,PDE10A,purple,3
5025,SNRK,purple,3
5026,SLC25A30,purple,3
5027,EVI5,purple,3
5028,BTG1,purple,3
5029,HCFC2,purple,3
5030,TGFBR3,purple,3
5031,RICTOR,purple,3
5032,ZNF711,purple,3
5033,SIPA1L2,purple,3
5034,GNAQ,purple,3
5035,PDE4D,purple,3
5036,AHR,purple,3
5037,COL1A2,purple,3
5038,GINM1,purple,3
5039,NAP1L5,purple,3
5040,RGL1,purple,3
5041,UBN2,purple,3
5042,ACER3,purple,3
5043,CASK,purple,3
5044,GNE,purple,3
5045,SLIT3,purple,3
5046,RARB,purple,3
5047,C6orf89,purple,3
5048,SNAP25,purple,3
5049,ZBED3,purple,3
5050,C5orf24,purple,3
5051,USP15,purple,3
5052,RAB1A,purple,3
5053,PICALM,purple,3
5054,FOXN2,purple,3
5055,NCOA7,purple,3
5056,MYO9A,purple,3
5057,SOBP,purple,3
5058,TIPARP,purple,3
5059,SYNJ1,purple,3
5060,GOLGB1,purple,3
5061,FAM102B,purple,3
5062,ZKSCAN1,purple,3
5063,LRCH1,purple,3
5064,PCDHA7,purple,3
5065,FNIP2,purple,3
5066,DACH1,purple,3
5067,C3orf14,purple,3
5068,ARL10,purple,3
5069,GLS,purple,3
5070,PI4KB,purple,3
5071,OXR1,purple,3
5072,GPRASP2,purple,3
5073,CD47,purple,3
5074,NRXN1,purple,3
5075,FAR1,purple,3
5076,GAS2L3,purple,3
5077,KLF4,purple,3
5078,TFAP2A,purple,3
5079,PDIK1L,purple,3
5080,DUSP1,purple,3
5081,TTLL7,purple,3
5082,HNRNPUL2,purple,3
5083,EPHA5,purple,3
5084,SPRYD3,purple,3
5085,TSC22D2,purple,3
5086,PRKCE,purple,3
5087,ZDHHC17,purple,3
5088,WWTR1,purple,3
5089,CLDND1,purple,3
5090,PREPL,purple,3
5091,UBE2B,purple,3
5092,IAH1,purple,3
5093,NBPF20,purple,3
5094,GIT2,purple,3
5095,PAG1,purple,3
5096,PCSK2,purple,3
5097,PPP1R37,purple,3
5098,CCSER2,purple,3
5099,YIPF4,purple,3
5100,MPRIP,purple,3
5101,TMF1,purple,3
5102,RAB22A,purple,3
5103,ZNF655,purple,3
5104,TMX4,purple,3
5105,DUSP3,purple,3
5106,RTN1,purple,3
5107,CUX2,purple,3
5108,MAP1B,purple,3
5109,SNX4,purple,3
5110,LRRK2,purple,3
5111,SYT1,purple,3
5112,KPNA1,purple,3
5113,FAM168B,purple,3
5114,FYTTD1,purple,3
5115,DOK4,purple,3
5116,MAP3K2,purple,3
5117,SBDS,purple,3
5118,TPD52,purple,3
5119,SOS1,purple,3
5120,CROT,purple,3
5121,SORBS1,purple,3
5122,STX2,purple,3
5123,FEZ2,purple,3
5124,NETO2,purple,3
5125,LPGAT1,purple,3
5126,CEP85L,purple,3
5127,ANKS1B,purple,3
5128,PHACTR3,purple,3
5129,RAB21,purple,3
5130,ADAM19,purple,3
5131,NEFH,purple,3
5132,ZBTB5,purple,3
5133,RALGDS,purple,3
5134,ETNK1,purple,3
5135,QKI,purple,3
5136,FAM8A1,purple,3
5137,FRY,purple,3
5138,PHF2,purple,3
5139,EPS8,purple,3
5140,SETD7,purple,3
5141,LMBRD2,purple,3
5142,POLK,purple,3
5143,SPAG9,purple,3
5144,BSDC1,purple,3
5145,TRIM2,purple,3
5146,DGKH,purple,3
5147,TTC14,purple,3
5148,CHD3,purple,3
5149,TNS3,purple,3
5150,DKK3,purple,3
5151,ZNF250,purple,3
5152,LONRF2,purple,3
5153,ERGIC2,purple,3
5154,NFIA,purple,3
5155,ZC2HC1A,purple,3
5156,AKAP11,purple,3
5157,HABP4,purple,3
5158,CLVS2,purple,3
5159,UBE2W,purple,3
5160,PLXNC1,purple,3
5161,ST3GAL5,purple,3
5162,ZNF2,purple,3
5163,GOLGA8A,purple,3
5164,MBOAT2,purple,3
5165,DST,purple,3
5166,MPC1,purple,3
5167,IPCEF1,purple,3
5168,TCAIM,purple,3
5169,MTDH,purple,3
5170,LYRM2,purple,3
5171,CDYL2,purple,3
5172,ZMYND11,purple,3
5173,FNIP1,purple,3
5174,RFTN1,purple,3
5175,ENC1,purple,3
5176,SGCD,purple,3
5177,SESN3,purple,3
5178,GAB1,purple,3
5179,SERINC1,purple,3
5180,FRMD6,purple,3
5181,BICD1,purple,3
5182,ZYG11B,purple,3
5183,SLC35D1,purple,3
5184,LAMTOR3,purple,3
5185,RANBP17,purple,3
5186,PCDH9,purple,3
5187,KDM1B,purple,3
5188,NBR1,purple,3
5189,MARK1,purple,3
5190,C6orf62,purple,3
5191,TWF1,purple,3
5192,HARS2,purple,3
5193,SLC30A4,purple,3
5194,ZNF41,purple,3
5195,MYT1L,purple,3
5196,NEK6,purple,3
5197,TMOD2,purple,3
5198,ARHGEF3,purple,3
5199,NF1,purple,3
5200,HMBOX1,purple,3
5201,GOLGA3,purple,3
5202,CEP97,purple,3
5203,SCD5,purple,3
5204,FRMD4B,purple,3
5205,ZDHHC11B,purple,3
5206,TIMP2,purple,3
5207,REV3L,purple,3
5208,CIAO1,purple,3
5209,KCTD20,purple,3
5210,UEVLD,purple,3
5211,SLC35A1,purple,3
5212,CRIPT,purple,3
5213,MDGA2,purple,3
5214,HECTD2,purple,3
5215,LRRC58,purple,3
5216,EDNRB,purple,3
5217,CDH6,purple,3
5218,SLC39A9,purple,3
5219,DERL2,purple,3
5220,HIPK3,purple,3
5221,MBNL1,purple,3
5222,SKAP2,purple,3
5223,USP38,purple,3
5224,NRG1,purple,3
5225,MBNL2,purple,3
5226,RABGAP1,purple,3
5227,SNAP91,purple,3
5228,FMN2,purple,3
5229,KMT2C,purple,3
5230,MAP3K1,purple,3
5231,MAGT1,purple,3
5232,MBD2,purple,3
5233,BICD2,purple,3
5234,CHMP5,purple,3
5235,CLASP2,purple,3
5236,CDK17,purple,3
5237,RUSC2,purple,3
5238,RPS6KB1,purple,3
5239,PXDN,purple,3
5240,MMP24,purple,3
5241,COL12A1,purple,3
5242,RASA2,purple,3
5243,CYLD,purple,3
5244,AMFR,purple,3
5245,OSTM1,purple,3
5246,SLC8A1,purple,3
5247,SPARC,purple,3
5248,GOLM1,purple,3
5249,TEX2,purple,3
5250,DNAJC30,purple,3
5251,IMPAD1,purple,3
5252,DOCK5,purple,3
5253,EPG5,purple,3
5254,DDHD1,purple,3
5255,NGRN,purple,3
5256,WDR37,purple,3
5257,RND3,purple,3
5258,DIP2B,purple,3
5259,TTBK2,purple,3
5260,MAP3K13,purple,3
5261,ATP8A1,purple,3
5262,TULP4,purple,3
5263,ZNF284,purple,3
5264,ITGA11,purple,3
5265,CADM1,purple,3
5266,ABL2,purple,3
5267,ZCCHC24,purple,3
5268,FBXL2,purple,3
5269,SVIP,purple,3
5270,PHYHIPL,purple,3
5271,NAB1,purple,3
5272,TNS1,purple,3
5273,DNAJB9,purple,3
5274,RNF146,purple,3
5275,PIGM,purple,3
5276,LIMCH1,purple,3
5277,ZBTB38,purple,3
5278,RDX,purple,3
5279,SECISBP2L,purple,3
5280,LONP2,purple,3
5281,MAST4,purple,3
5282,CADM2,purple,3
5283,CLCN5,purple,3
5284,PTPRM,purple,3
5285,ROCK2,purple,3
5286,ZNF804A,purple,3
5287,RCOR3,purple,3
5288,LIN52,purple,3
5289,STK38,purple,3
5290,SCOC,purple,3
5291,ST8SIA2,purple,3
5292,EDIL3,purple,3
5293,KCNB1,purple,3
5294,ATXN1,purple,3
5295,MXD1,purple,3
5296,EDEM3,purple,3
5297,SLC1A2,purple,3
5298,SAR1B,purple,3
5299,HSPA4L,purple,3
5300,MORC3,purple,3
5301,RGMB,purple,3
5302,C1orf56,purple,3
5303,VPS35,purple,3
5304,CELF2,purple,3
5305,ERBB3,purple,3
5306,ZFHX3,purple,3
5307,PRDM4,purple,3
5308,CDK5R1,purple,3
5309,PCGF3,purple,3
5310,ACOX1,purple,3
5311,RFK,purple,3
5312,NDFIP1,purple,3
5313,FOXK1,purple,3
5314,FBXW7,purple,3
5315,CYP26B1,purple,3
5316,NFIC,purple,3
5317,DAZAP2,purple,3
5318,OAZ3,purple,3
5319,MOSPD2,purple,3
5320,CKAP4,purple,3
5321,SYVN1,purple,3
5322,APC,purple,3
5323,VAPB,purple,3
5324,CREBRF,purple,3
5325,ZDHHC9,purple,3
5326,CAMSAP2,purple,3
5327,ZNF385D,purple,3
5328,TMED5,purple,3
5329,C2CD4C,purple,3
5330,MAP7D1,purple,3
5331,SH3GLB1,purple,3
5332,TET2,purple,3
5333,RIMS1,purple,3
5334,DYNC1LI2,purple,3
5335,AGO3,purple,3
5336,NRP1,purple,3
5337,RPS6KA5,purple,3
5338,STS,purple,3
5339,KIDINS220,purple,3
5340,MTMR4,purple,3
5341,ZNF287,purple,3
5342,SGMS1,purple,3
5343,PIK3R3,purple,3
5344,MCAM,purple,3
5345,DACT3,purple,3
5346,CPEB4,purple,3
5347,NFX1,purple,3
5348,BACE2,purple,3
5349,NDUFA1,purple,3
5350,SSH1,purple,3
5351,RHOC,purple,3
5352,CASP2,purple,3
5353,KAT2B,purple,3
5354,DIP2C,purple,3
5355,KLF12,purple,3
5356,CERKL,purple,3
5357,JAK1,purple,3
5358,MSANTD4,purple,3
5359,RPS6KA3,purple,3
5360,LPXN,purple,3
5361,NEFM,purple,3
5362,SHC4,purple,3
5363,SH3KBP1,purple,3
5364,JUN,purple,3
5365,SNX3,purple,3
5366,ZNF800,purple,3
5367,IRF2BP2,purple,3
5368,ASTN1,purple,3
5369,LIFR,purple,3
5370,NID1,purple,3
5371,GPCPD1,purple,3
5372,ITGAV,purple,3
5373,UBR3,purple,3
5374,CPEB2,purple,3
5375,PPP1R3D,purple,3
5376,MAP4K5,purple,3
5377,YWHAG,purple,3
5378,SASH1,purple,3
5379,ACSL1,purple,3
5380,ZEB1,purple,3
5381,NECAP1,purple,3
5382,LAMC1,purple,3
5383,MBD5,purple,3
5384,CXCL12,purple,3
5385,SRGAP1,purple,3
5386,ARHGAP31,purple,3
5387,CDK19,purple,3
5388,NCAN,purple,3
5389,TBC1D12,purple,3
5390,RELN,purple,3
5391,TRAPPC2,purple,3
5392,FRMD4A,purple,3
5393,ANKRD50,purple,3
5394,SLC16A14,purple,3
5395,PJA2,purple,3
5396,PRRG1,purple,3
5397,BSN,purple,3
5398,ADAMTSL3,purple,3
5399,RECK,purple,3
5400,CNTN1,purple,3
5401,TMEM170B,purple,3
5402,MGAT4C,purple,3
5403,IRF2,purple,3
5404,TGFBR2,purple,3
5405,R3HDM2,purple,3
5406,PPP1R1C,purple,3
5407,BMPR2,purple,3
5408,PPCS,purple,3
5409,SLC12A5,purple,3
5410,PPP2R2D,purple,3
5411,CHN2,purple,3
5412,TGFB2,purple,3
5413,TTC3,purple,3
5414,ITPRIPL2,purple,3
5415,CPEB3,purple,3
5416,PPIP5K2,purple,3
5417,MARCKS,purple,3
5418,CLIP4,purple,3
5419,BASP1,purple,3
5420,NCOA2,purple,3
5421,CYTH1,purple,3
5422,LNPEP,purple,3
5423,ARHGAP20,purple,3
5424,XKR4,purple,3
5425,TMEM132A,purple,3
5426,HDAC4,purple,3
5427,OSBPL6,purple,3
5428,DMD,purple,3
5429,GLIS3,purple,3
5430,WDFY3,purple,3
5431,SLC6A13,purple,3
5432,NPAS3,purple,3
5433,KCND3,purple,3
5434,RNF19A,purple,3
5435,ZNF449,purple,3
5436,ACVR2A,purple,3
5437,ANK2,purple,3
5438,FAM214A,purple,3
5439,MAP4K4,purple,3
5440,ESR1,purple,3
5441,ACTR8,purple,3
5442,TAPT1,purple,3
5443,AAK1,purple,3
5444,FAM160B1,purple,3
5445,LCOR,purple,3
5446,TAOK3,purple,3
5447,GPX8,purple,3
5448,ZNF302,purple,3
5449,GPR158,purple,3
5450,LIMS2,purple,3
5451,PLK2,purple,3
5452,USP6NL,purple,3
5453,TRAK2,purple,3
5454,KIF3A,purple,3
5455,FNDC3A,purple,3
5456,SH3PXD2A,purple,3
5457,TNFSF4,purple,3
5458,CFL2,purple,3
5459,DTNA,purple,3
5460,FAM126B,purple,3
5461,REEP1,purple,3
