"","AD3_1.1","AD3_1.2","AD3_1.3","AD3_5.1","AD3_5.2","AD3_5.3","AD3_9.1","AD3_9.2","AD3_9.3","AD3_16.1","AD3_16.2","AD3_16.3","AD3_26.1","AD3_26.2","AD3_26.3","AD3_36.1","AD3_36.2","AD3_36.3"
"hsa-let-7f-2-3p",1.73031123041947,2.63658439849917,1.56957225434832,1.5670910519583,1.92609579274195,0.944044836892023,2.17122712991307,2.70433101567423,1.45308142726486,2.52487259842766,2.27328529934423,0.848187312595596,2.17439138281423,3.20118024235108,2.47943534286054,4.07419513878977,3.96324050773694,4.23476505935434
"hsa-let-7f-5p",4.36748337091856,3.90667394503948,4.52859251477947,4.52494064467237,3.92882358042914,3.7168826801256,4.79276907989114,4.89296825645509,4.4098665311083,6.23608293535918,6.89764461754475,6.37043886664662,7.87986013409809,8.20691312380967,8.5045594559416,9.64041275781755,9.97843077908636,9.77480181066206
"hsa-let-7g-3p",-0.631090574847244,-0.631090574847244,-0.631090574847244,0.991202708967641,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,0.972600169608657,2.03435058328147,2.10775461806464,1.8907466128176,1.45161951157851
"hsa-let-7g-5p",9.337558733945,9.26873196749394,9.25283140230855,8.32722723440812,8.24460193128786,8.42430667910389,8.99519956327611,8.82105804214804,8.98901499256074,9.69814206908098,9.73523983535037,9.74978962316,12.5914043686876,12.6638600891128,13.0219509468697,14.8940601436162,14.8624163220754,15.1160826723931
"hsa-let-7i-3p",3.30131902817591,1.87776542705206,1.56957225434832,1.5670910519583,2.48051869773684,2.84357509367136,2.62802947732458,2.70433101567423,2.38083422568806,2.07611371555364,2.9235942638768,2.50090837236354,1.14240869204623,3.05464187232904,3.31758002600364,1.81115630470122,2.44098834807258,1.83546239634957
"hsa-let-7i-5p",9.2382285237923,9.36748222473987,9.4190702637297,8.74488526698678,9.00467052568993,8.94544336046753,9.80632611788938,9.62966234770999,9.38714986179646,10.5417805298205,10.5887394733025,10.7135144863278,12.4933470945118,12.6825929476045,12.8683472580365,15.1100079034081,15.2846681928176,15.2522957659507
"hsa-miR-1-3p",5.39830306429068,6.1023977017944,5.36670059853066,6.68343485634909,6.82035703265777,7.23605871330362,6.17689136073318,5.75982571826509,5.73457897813211,6.61561233513978,6.75949902026247,6.73377787606744,8.11652424902074,7.75467462190936,7.61503134141881,7.67101093116773,7.95115110068553,7.63241420817244
"hsa-miR-1-5p",-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,0.924505602417205,0.772850174897391,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,0.882992105172624,-0.631090574847244,-0.631090574847244
"hsa-miR-100-3p",-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,1.40376063876287,0.992075765219119,2.05407715475925,1.14240869204623,0.972600169608657,1.36926269150046,0.882992105172624,-0.631090574847244,0.899993387210069
"hsa-miR-100-5p",11.0241257701732,10.9229966935479,11.1199837175991,11.639020287367,11.8061048722642,11.869666514024,11.027148862332,10.5961877893394,10.5346887705057,15.8606762173287,16.1269338095617,16.1689647876593,16.4762161268343,16.9319349352858,16.908353951675,16.3668711457831,16.7496498138199,16.3125352021297
"hsa-miR-101-2-5p",3.82533630980562,2.30826856112321,1.56957225434832,1.5670910519583,1.92609579274195,1.50752565935671,-0.631090574847244,-0.631090574847244,1.83710297822914,-0.631090574847244,1.56819106597546,0.848187312595596,1.14240869204623,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,1.45161951157851
"hsa-miR-101-3p",7.2877320801156,6.92064797240007,7.04581839708155,7.39256734797917,8.11433619902139,8.11083960091559,7.3213943139267,6.54230774476764,6.38587261849501,5.87636861653401,5.67760009863221,5.98828792242708,7.14588929908807,6.74552852924302,6.70705768664032,6.6242192952128,6.12054045524567,5.71044391080289
"hsa-miR-101-5p",2.46477110992929,1.24095167137887,1.56957225434832,-0.631090574847244,-0.631090574847244,-0.631090574847244,1.87037975384457,0.772850174897391,1.45308142726486,1.40376063876287,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244
"hsa-miR-10226",-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244
"hsa-miR-10392-3p",-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244
"hsa-miR-10392-5p",-0.631090574847244,2.90273580284456,2.27492862195393,-0.631090574847244,0.963836413517634,3.28406470230222,3.58480561736857,3.71836526508624,4.35451065994213,2.52487259842766,1.96586637750787,2.50090837236354,3.485293043496,2.49432397212731,3.31758002600364,3.29523365450523,3.39587861706928,3.43697271912459
"hsa-miR-10393-3p",-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244
"hsa-miR-10393-5p",-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244
"hsa-miR-10394-3p",3.30131902817591,2.30826856112321,2.74000521697252,2.27197636456451,-0.631090574847244,0.944044836892023,3.58480561736857,3.56516427937066,3.96847036389461,3.81912267794164,4.06091563879511,3.53876053527052,3.74578265289453,4.43238814180243,3.84225782446423,3.17538137920664,3.14276297474333,2.37899135103199
"hsa-miR-10394-5p",-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244
"hsa-miR-10395-3p",7.05068332217194,6.58763004996443,6.13629461250205,6.86263471914229,7.12102042504579,7.3227974278046,7.85692861382427,7.64624247360847,7.28146433093472,7.70353435165472,7.6888315155401,7.74509472907379,8.95191483919101,8.71440467075222,8.0699267223165,7.19142062976221,7.01614520889654,7.08923631754096
"hsa-miR-10395-5p",7.52538022306249,6.99313939750394,7.1602156556216,7.37692140130389,7.84535991473347,7.11753995305882,7.08722185235144,6.73374932267531,6.66125752947703,7.45890850017801,7.32248331563963,7.25814889355071,7.85253107710062,7.6820578533906,7.7574990900314,6.73385974520653,7.02551192737776,7.06364238213966
"hsa-miR-10396a-3p",-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244
"hsa-miR-10396a-5p",-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244
"hsa-miR-10396b-3p",-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244
"hsa-miR-10396b-5p",-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244
"hsa-miR-10397-3p",-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,0.963836413517634,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,-0.631090574847244,0.992075765219119,-0.631090574847244,2.17439138281423,2.49432397212731,-0.631090574847244,2.10775461806464,2.19302432917929,1.45161951157851
