"","840_1.1","840_1.2","840_1.3","840_5.1","840_5.2","840_5.3","840_9.1","840_9.2","840_9.3","840_16.1","840_16.2","840_16.3","840_26.1","840_26.2","840_26.3","840_36.1","840_36.2","840_36.3"
"hsa-miR-7162-3p",-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677
"hsa-miR-7162-5p",-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677
"hsa-miR-718",-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677
"hsa-miR-744-3p",6.0305882776623,5.21456362918868,5.59511452225107,5.28285711719128,6.02723546724935,5.54528832574875,6.5677941696808,5.05682458287862,5.17819817219828,4.90606987446776,5.32194427421654,4.95710501026807,4.4055709499851,4.90416260039606,4.39160068163972,4.88020469622393,3.99655089746718,4.47780481424215
"hsa-miR-744-5p",12.6307972753915,12.7625523151816,12.6854935845276,11.8292868247328,11.8875983928087,11.7766914262939,12.6854228808512,12.6911807584124,12.770505129196,12.4079296971591,12.3861112681857,12.1965640640722,12.204240681093,12.3195329610252,12.4221696793183,12.2784418778606,12.3475794929122,12.3990321217755
"hsa-miR-7515",-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677
"hsa-miR-758-3p",1.43466987341456,-0.626589465131677,1.84460161993866,5.66386634004558,5.4563568523277,5.84154506816637,2.66026118900756,3.20957029708044,2.94640293530554,2.80231186763814,2.65680144983727,-0.626589465131677,2.63398327058917,1.70668493744661,3.4744022284438,3.24729290489962,2.98567018709809,3.46727858332667
"hsa-miR-758-5p",-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677
"hsa-miR-759",-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677
"hsa-miR-760",8.35047624215549,8.06386516458075,8.42090530677317,6.69548057991647,6.78411888549937,6.52534802121006,8.37635102511048,8.24575355166951,8.24774650779319,9.80398929539621,9.87454864870231,10.1530865407236,10.1429449744398,10.3367062133974,10.1037580888614,10.0913759276674,9.67254904813547,9.78712080638286
"hsa-miR-761",-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677
"hsa-miR-762",-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677
"hsa-miR-764",3.18015711920087,3.01283139343742,3.27760123805546,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,1.06395533223925,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677,-0.626589465131677
"hsa-miR-765",2.56399419639371,2.66684167377915,2.86196383325593,1.81944848864459,3.19254172056802,3.38951193144662,2.92709776134962,3.95343074513561,3.45391510695111,3.82593952479982,3.512675278757,2.45236878446784,4.18609063408959,3.86284134763101,4.50041119194155,4.84613189116644,3.8702356973244,4.17604438779458
"hsa-miR-766-3p",7.133380545344,7.1069873905689,7.4906523383453,5.04644984352884,5.99188426096194,5.76830027791968,7.3085345214323,6.73049560268535,6.69312569704324,8.20343130374229,7.87172939979445,7.73195909234194,7.28224240319512,7.43683264371196,7.4136789630333,7.51312829126713,7.29984247990505,7.36750103469611
"hsa-miR-766-5p",5.4424920675286,5.2794266377719,6.00056708703856,3.41518283496537,4.72988855188995,3.95041105975409,4.51853052046221,4.55469290865139,3.82785876717884,5.12960089310774,5.49438604136174,4.66602019073743,5.88389110825954,5.78440698651407,5.51232320164975,6.666763175781,5.80868101400821,5.7306615461935
"hsa-miR-767-3p",3.93874964671598,3.72385557733072,3.4474063242549,3.41518283496537,3.061529447248,3.5733140633168,3.5164700175522,1.55098373493909,2.67890755926078,1.36011829198249,3.86739861839038,2.00988464645655,3.61070891856246,4.05743159704004,4.00494087502369,4.73879589690237,4.50131413729823,3.79372866078965
"hsa-miR-767-5p",9.38856166588553,8.83085983180131,9.18987008027706,8.29027314656056,8.75567116704101,8.52408910724519,8.16544203486728,7.35731900424553,7.47451137974467,8.49497864599021,8.42901530141525,8.35518916539855,10.0416200457496,10.0321914453398,10.0776762513746,11.1855059970953,11.0441865982319,11.0460578386283
